STT,CMND,DOTTHI,MADOTTHI,NGAYTHI,NAMTHI,MAMONTHI,TENMONTHI,DIEM,THANGDIEM,MADVTCTDL,TENDVTCTDL
167,TS_0056,4,25-4,07/06/2025,2025,TO_VS,Toán - VSAT,107,150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
168,TS_0056,4,25-4,07/06/2025,2025,LI_VS,Vật lí - VSAT,91,150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
169,TS_0056,3,25-3,17/05/2025,2025,N1_VS,Tiếng Anh - VSAT,"118,5",150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
170,TS_0056,4,25-4,07/06/2025,2025,VA_VS,Ngữ văn - VSAT,123,150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
171,TS_0056,3,25-3,17/05/2025,2025,VA_VS,Ngữ văn - VSAT,"121,5",150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
172,TS_0056,3,25-3,17/05/2025,2025,TO_VS,Toán - VSAT,103,150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
173,TS_0056,4,25-4,07/06/2025,2025,N1_VS,Tiếng Anh - VSAT,100,150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
174,TS_0056,3,25-3,17/05/2025,2025,LI_VS,Vật lí - VSAT,"99,5",150,MBS,Trường Đại học Mở Thành phố Hồ Chí Minh
175,TS_0056,3,253,10/05/2025,2025,TO_VS,Toán - VSAT,"110,5",150,SGD,Trường Đại học Sài Gòn
176,TS_0056,3,253,10/05/2025,2025,LI_VS,Vật lí - VSAT,70,150,SGD,Trường Đại học Sài Gòn
180,TS_0059,3,253,10/05/2025,2025,TO_VS,Toán - VSAT,"103,5",150,SGD,Trường Đại học Sài Gòn
181,TS_0059,3,253,10/05/2025,2025,N1_VS,Tiếng Anh - VSAT,"81,5",150,SGD,Trường Đại học Sài Gòn
182,TS_0059,3,253,10/05/2025,2025,VA_VS,Ngữ văn - VSAT,116,150,SGD,Trường Đại học Sài Gòn
190,TS_0062,4,254,11/05/2025,2025,TO_VS,Toán - VSAT,"115,5",150,SGD,Trường Đại học Sài Gòn
192,TS_0062,4,254,11/05/2025,2025,N1_VS,Tiếng Anh - VSAT,120,150,SGD,Trường Đại học Sài Gòn
193,TS_0062,4,254,11/05/2025,2025,VA_VS,Ngữ văn - VSAT,"115,5",150,SGD,Trường Đại học Sài Gòn
194,TS_0062,4,254,11/05/2025,2025,SU_VS,Lịch sử - VSAT,119,150,SGD,Trường Đại học Sài Gòn
197,TS_0063,2,253,11/05/2025,2025,N1_VS,Tiếng Anh - VSAT,97,150,DMS,Trường Đại học Tài chính - Marketing
198,TS_0063,3,255,24/05/2025,2025,N1_VS,Tiếng Anh - VSAT,"85,5",150,DMS,Trường Đại học Tài chính - Marketing
199,TS_0063,2,253,11/05/2025,2025,TO_VS,Toán - VSAT,"89,5",150,DMS,Trường Đại học Tài chính - Marketing
200,TS_0063,3,255,24/05/2025,2025,TO_VS,Toán - VSAT,"93,5",150,DMS,Trường Đại học Tài chính - Marketing
201,TS_0063,3,255,24/05/2025,2025,HO_VS,Hóa học - VSAT,"83,5",150,DMS,Trường Đại học Tài chính - Marketing
202,TS_0063,2,253,11/05/2025,2025,HO_VS,Hóa học - VSAT,59,150,DMS,Trường Đại học Tài chính - Marketing
211,TS_0068,1,251,06/04/2025,2025,TO_VS,Toán - VSAT,"142,5",150,SGD,Trường Đại học Sài Gòn
212,TS_0068,1,251,06/04/2025,2025,LI_VS,Vật lí - VSAT,128,150,SGD,Trường Đại học Sài Gòn
213,TS_0068,1,251,06/04/2025,2025,HO_VS,Hóa học - VSAT,120,150,SGD,Trường Đại học Sài Gòn
226,TS_0072,2,HUBSA252,20/04/2025,2025,M1,Toán,77,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
227,TS_0072,2,HUBSA252,20/04/2025,2025,M7,Địa lý,90,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
228,TS_0072,2,HUBSA252,20/04/2025,2025,M6,Lịch sử,76,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
239,TS_0075,2,252,13/04/2025,2025,TO_VS,Toán - VSAT,"95,5",150,SGD,Trường Đại học Sài Gòn
240,TS_0075,2,252,13/04/2025,2025,N1_VS,Tiếng Anh - VSAT,135,150,SGD,Trường Đại học Sài Gòn
241,TS_0075,2,252,13/04/2025,2025,VA_VS,Ngữ văn - VSAT,131,150,SGD,Trường Đại học Sài Gòn
264,TS_0084,2,252,13/04/2025,2025,N1_VS,Tiếng Anh - VSAT,116,150,SGD,Trường Đại học Sài Gòn
271,TS_0084,4,254,11/05/2025,2025,TO_VS,Toán - VSAT,101,150,SGD,Trường Đại học Sài Gòn
272,TS_0084,4,254,11/05/2025,2025,VA_VS,Ngữ văn - VSAT,"107,5",150,SGD,Trường Đại học Sài Gòn
276,TS_0086,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,"110,5",150,TCT,Trường Đại học Cần Thơ
277,TS_0086,6,CTU256,17/07/2025,2025,LI_VS,Vật lí - VSAT,114,150,TCT,Trường Đại học Cần Thơ
278,TS_0086,6,CTU256,17/07/2025,2025,HO_VS,Hóa học - VSAT,"123,5",150,TCT,Trường Đại học Cần Thơ
290,TS_0094,1,251,12/04/2025,2025,TO_VS,Toán - VSAT,"107,5",150,DMS,Trường Đại học Tài chính - Marketing
291,TS_0094,1,251,12/04/2025,2025,LI_VS,Vật lí - VSAT,101,150,DMS,Trường Đại học Tài chính - Marketing
292,TS_0094,1,251,12/04/2025,2025,HO_VS,Hóa học - VSAT,92,150,DMS,Trường Đại học Tài chính - Marketing
293,TS_0094,3,255,24/05/2025,2025,LI_VS,Vật lí - VSAT,"101,5",150,DMS,Trường Đại học Tài chính - Marketing
294,TS_0094,3,255,24/05/2025,2025,TO_VS,Toán - VSAT,"103,5",150,DMS,Trường Đại học Tài chính - Marketing
295,TS_0094,3,255,24/05/2025,2025,HO_VS,Hóa học - VSAT,"97,5",150,DMS,Trường Đại học Tài chính - Marketing
306,TS_0100,4,254,11/05/2025,2025,LI_VS,Vật lí - VSAT,100,150,SGD,Trường Đại học Sài Gòn
307,TS_0100,4,254,11/05/2025,2025,TO_VS,Toán - VSAT,81,150,SGD,Trường Đại học Sài Gòn
308,TS_0100,4,254,11/05/2025,2025,N1_VS,Tiếng Anh - VSAT,"65,5",150,SGD,Trường Đại học Sài Gòn
309,TS_0100,4,254,11/05/2025,2025,VA_VS,Ngữ văn - VSAT,"117,5",150,SGD,Trường Đại học Sài Gòn
312,TS_0103,5,HUBSA255,29/06/2025,2025,M1,Toán,"104,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
313,TS_0103,5,HUBSA255,29/06/2025,2025,M3,Hoá,"75,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
314,TS_0103,5,HUBSA255,29/06/2025,2025,M2,Vật lý,82,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
320,TS_0106,6,CTU256,17/07/2025,2025,LI_VS,Vật lí - VSAT,82,150,TCT,Trường Đại học Cần Thơ
321,TS_0106,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,"78,5",150,TCT,Trường Đại học Cần Thơ
322,TS_0106,6,CTU256,17/07/2025,2025,HO_VS,Hóa học - VSAT,"86,5",150,TCT,Trường Đại học Cần Thơ
341,TS_0114,3,HUBSA253,18/05/2025,2025,M1,Toán,"79,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
342,TS_0114,3,HUBSA253,18/05/2025,2025,M2,Vật lý,"87,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
343,TS_0114,3,HUBSA253,18/05/2025,2025,M3,Hoá,"52,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
344,TS_0114,1,VLU251,08/07/2025,2025,LI_VS,Vật lí - VSAT,87,150,dvl,Trường Đại học Văn Lang
345,TS_0114,1,VLU251,08/07/2025,2025,HO_VS,Hóa học - VSAT,"60,5",150,dvl,Trường Đại học Văn Lang
346,TS_0114,1,VLU251,08/07/2025,2025,TO_VS,Toán - VSAT,"92,5",150,dvl,Trường Đại học Văn Lang
353,TS_0120,4,CTU254,23/05/2025,2025,TO_VS,Toán - VSAT,"76,5",150,TCT,Trường Đại học Cần Thơ
354,TS_0120,3,CTU253,26/04/2025,2025,LI_VS,Vật lí - VSAT,85,150,TCT,Trường Đại học Cần Thơ
356,TS_0120,6,CTU256,17/07/2025,2025,HO_VS,Hóa học - VSAT,"56,5",150,TCT,Trường Đại học Cần Thơ
357,TS_0120,6,CTU256,17/07/2025,2025,LI_VS,Vật lí - VSAT,72,150,TCT,Trường Đại học Cần Thơ
358,TS_0120,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,"100,5",150,TCT,Trường Đại học Cần Thơ
359,TS_0120,5,CTU255,06/06/2025,2025,HO_VS,Hóa học - VSAT,"62,5",150,TCT,Trường Đại học Cần Thơ
360,TS_0120,5,CTU255,06/06/2025,2025,LI_VS,Vật lí - VSAT,"98,5",150,TCT,Trường Đại học Cần Thơ
361,TS_0120,5,CTU255,06/06/2025,2025,TO_VS,Toán - VSAT,"75,5",150,TCT,Trường Đại học Cần Thơ
362,TS_0120,3,CTU253,26/04/2025,2025,TO_VS,Toán - VSAT,"60,5",150,TCT,Trường Đại học Cần Thơ
363,TS_0120,2,CTU252,12/04/2025,2025,HO_VS,Hóa học - VSAT,"42,5",150,TCT,Trường Đại học Cần Thơ
364,TS_0121,3,CTU253,26/04/2025,2025,HO_VS,Hóa học - VSAT,73,150,TCT,Trường Đại học Cần Thơ
365,TS_0121,5,CTU255,06/06/2025,2025,N1_VS,Tiếng Anh - VSAT,84,150,TCT,Trường Đại học Cần Thơ
366,TS_0121,6,CTU256,17/07/2025,2025,VA_VS,Ngữ văn - VSAT,84,150,TCT,Trường Đại học Cần Thơ
367,TS_0121,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,96,150,TCT,Trường Đại học Cần Thơ
368,TS_0121,5,CTU255,06/06/2025,2025,HO_VS,Hóa học - VSAT,"85,5",150,TCT,Trường Đại học Cần Thơ
369,TS_0121,5,CTU255,06/06/2025,2025,TO_VS,Toán - VSAT,74,150,TCT,Trường Đại học Cần Thơ
370,TS_0122,2,CTU252,12/04/2025,2025,TO_VS,Toán - VSAT,97,150,TCT,Trường Đại học Cần Thơ
371,TS_0122,4,CTU254,23/05/2025,2025,TO_VS,Toán - VSAT,"95,5",150,TCT,Trường Đại học Cần Thơ
372,TS_0122,3,CTU253,26/04/2025,2025,HO_VS,Hóa học - VSAT,120,150,TCT,Trường Đại học Cần Thơ
373,TS_0122,2,CTU252,12/04/2025,2025,SI_VS,Sinh học - VSAT,"99,5",150,TCT,Trường Đại học Cần Thơ
374,TS_0122,5,CTU255,06/06/2025,2025,VA_VS,Ngữ văn - VSAT,112,150,TCT,Trường Đại học Cần Thơ
375,TS_0122,5,CTU255,06/06/2025,2025,SI_VS,Sinh học - VSAT,71,150,TCT,Trường Đại học Cần Thơ
376,TS_0122,6,CTU256,17/07/2025,2025,HO_VS,Hóa học - VSAT,96,150,TCT,Trường Đại học Cần Thơ
377,TS_0122,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,"121,5",150,TCT,Trường Đại học Cần Thơ
378,TS_0122,6,CTU256,17/07/2025,2025,SI_VS,Sinh học - VSAT,"97,5",150,TCT,Trường Đại học Cần Thơ
379,TS_0122,5,CTU255,06/06/2025,2025,HO_VS,Hóa học - VSAT,"118,5",150,TCT,Trường Đại học Cần Thơ
380,TS_0122,5,CTU255,06/06/2025,2025,TO_VS,Toán - VSAT,"116,5",150,TCT,Trường Đại học Cần Thơ
381,TS_0122,3,CTU253,26/04/2025,2025,TO_VS,Toán - VSAT,111,150,TCT,Trường Đại học Cần Thơ
382,TS_0122,2,CTU252,12/04/2025,2025,HO_VS,Hóa học - VSAT,99,150,TCT,Trường Đại học Cần Thơ
383,TS_0122,4,CTU254,23/05/2025,2025,SI_VS,Sinh học - VSAT,"90,5",150,TCT,Trường Đại học Cần Thơ
384,TS_0122,4,CTU254,23/05/2025,2025,HO_VS,Hóa học - VSAT,"101,5",150,TCT,Trường Đại học Cần Thơ
404,TS_0135,6,CTU256,17/07/2025,2025,DI_VS,Địa lí _ VSAT,72,150,TCT,Trường Đại học Cần Thơ
405,TS_0135,6,CTU256,17/07/2025,2025,VA_VS,Ngữ văn - VSAT,"87,5",150,TCT,Trường Đại học Cần Thơ
406,TS_0135,6,CTU256,17/07/2025,2025,SU_VS,Lịch sử - VSAT,88,150,TCT,Trường Đại học Cần Thơ
416,TS_0140,1,251,06/04/2025,2025,VA_VS,Ngữ văn - VSAT,"115,5",150,SGD,Trường Đại học Sài Gòn
417,TS_0140,1,251,06/04/2025,2025,DI_VS,Địa lí - VSAT,103,150,SGD,Trường Đại học Sài Gòn
418,TS_0140,1,251,06/04/2025,2025,SU_VS,Lịch sử - VSAT,104,150,SGD,Trường Đại học Sài Gòn
450,TS_0159,1,HUBSA251,23/03/2025,2025,M1,Toán,"76,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
451,TS_0159,1,HUBSA251,23/03/2025,2025,M6,Lịch sử,"132,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
452,TS_0159,1,HUBSA251,23/03/2025,2025,M7,Địa lý,111,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
453,TS_0159,4,254,11/05/2025,2025,VA_VS,Ngữ văn - VSAT,100,150,SGD,Trường Đại học Sài Gòn
454,TS_0159,4,254,11/05/2025,2025,DI_VS,Địa lí - VSAT,103,150,SGD,Trường Đại học Sài Gòn
455,TS_0159,4,254,11/05/2025,2025,SU_VS,Lịch sử - VSAT,141,150,SGD,Trường Đại học Sài Gòn
462,TS_0164,3,253,10/05/2025,2025,DI_VS,Địa lí - VSAT,120,150,SGD,Trường Đại học Sài Gòn
464,TS_0164,1,251,06/04/2025,2025,VA_VS,Ngữ văn - VSAT,"120,5",150,SGD,Trường Đại học Sài Gòn
465,TS_0164,1,251,06/04/2025,2025,DI_VS,Địa lí - VSAT,93,150,SGD,Trường Đại học Sài Gòn
466,TS_0164,1,251,06/04/2025,2025,N1_VS,Tiếng Anh - VSAT,"114,5",150,SGD,Trường Đại học Sài Gòn
467,TS_0164,3,253,10/05/2025,2025,TO_VS,Toán - VSAT,103,150,SGD,Trường Đại học Sài Gòn
468,TS_0165,1,CTU251,22/03/2025,2025,VA_VS,Ngữ văn - VSAT,"118,5",150,TCT,Trường Đại học Cần Thơ
469,TS_0165,1,CTU251,22/03/2025,2025,N1_VS,Tiếng Anh - VSAT,123,150,TCT,Trường Đại học Cần Thơ
470,TS_0165,1,CTU251,22/03/2025,2025,SU_VS,Lịch sử - VSAT,"127,5",150,TCT,Trường Đại học Cần Thơ
473,TS_0165,5,CTU255,06/06/2025,2025,VA_VS,Ngữ văn - VSAT,114,150,TCT,Trường Đại học Cần Thơ
474,TS_0165,5,CTU255,06/06/2025,2025,N1_VS,Tiếng Anh - VSAT,132,150,TCT,Trường Đại học Cần Thơ
475,TS_0165,5,CTU255,06/06/2025,2025,SU_VS,Lịch sử - VSAT,132,150,TCT,Trường Đại học Cần Thơ
476,TS_0165,4,CTU254,23/05/2025,2025,VA_VS,Ngữ văn - VSAT,"131,5",150,TCT,Trường Đại học Cần Thơ
478,TS_0165,2,CTU252,12/04/2025,2025,VA_VS,Ngữ văn - VSAT,118,150,TCT,Trường Đại học Cần Thơ
479,TS_0165,4,CTU254,23/05/2025,2025,N1_VS,Tiếng Anh - VSAT,"126,5",150,TCT,Trường Đại học Cần Thơ
480,TS_0165,2,CTU252,12/04/2025,2025,N1_VS,Tiếng Anh - VSAT,"136,5",150,TCT,Trường Đại học Cần Thơ
481,TS_0165,2,CTU252,12/04/2025,2025,SU_VS,Lịch sử - VSAT,"128,5",150,TCT,Trường Đại học Cần Thơ
482,TS_0165,4,CTU254,23/05/2025,2025,SU_VS,Lịch sử - VSAT,"118,5",150,TCT,Trường Đại học Cần Thơ
487,TS_0168,3,253,10/05/2025,2025,DI_VS,Địa lí - VSAT,"87,5",150,SGD,Trường Đại học Sài Gòn
488,TS_0168,1,251,06/04/2025,2025,VA_VS,Ngữ văn - VSAT,96,150,SGD,Trường Đại học Sài Gòn
489,TS_0168,1,251,06/04/2025,2025,TO_VS,Toán - VSAT,69,150,SGD,Trường Đại học Sài Gòn
490,TS_0168,1,251,06/04/2025,2025,DI_VS,Địa lí - VSAT,83,150,SGD,Trường Đại học Sài Gòn
491,TS_0168,3,253,10/05/2025,2025,TO_VS,Toán - VSAT,"80,5",150,SGD,Trường Đại học Sài Gòn
513,TS_0180,6,CTU256,17/07/2025,2025,TO_VS,Toán - VSAT,"87,5",150,TCT,Trường Đại học Cần Thơ
514,TS_0180,6,CTU256,17/07/2025,2025,LI_VS,Vật lí - VSAT,74,150,TCT,Trường Đại học Cần Thơ
515,TS_0180,6,CTU256,17/07/2025,2025,HO_VS,Hóa học - VSAT,42,150,TCT,Trường Đại học Cần Thơ
573,TS_0211,4,DOT4,05/07/2025,2025,VA_VS,Ngữ văn - VSAT,111,150,SPD,Trường Đại học Đồng Tháp
574,TS_0211,4,DOT4,05/07/2025,2025,SU_VS,Lịch sử - VSAT,"119,5",150,SPD,Trường Đại học Đồng Tháp
575,TS_0211,4,DOT4,05/07/2025,2025,DI_VS,Địa lí - VSAT,116,150,SPD,Trường Đại học Đồng Tháp
576,TS_0211,5,CTU255,06/06/2025,2025,VA_VS,Ngữ văn - VSAT,"103,5",150,TCT,Trường Đại học Cần Thơ
577,TS_0211,5,CTU255,06/06/2025,2025,DI_VS,Địa lí - VSAT,120,150,TCT,Trường Đại học Cần Thơ
578,TS_0211,6,CTU256,17/07/2025,2025,VA_VS,Ngữ văn - VSAT,"127,5",150,TCT,Trường Đại học Cần Thơ
579,TS_0211,6,CTU256,17/07/2025,2025,DI_VS,Địa lí _ VSAT,120,150,TCT,Trường Đại học Cần Thơ
580,TS_0211,5,CTU255,06/06/2025,2025,SU_VS,Lịch sử - VSAT,"120,5",150,TCT,Trường Đại học Cần Thơ
581,TS_0211,6,CTU256,17/07/2025,2025,SU_VS,Lịch sử - VSAT,"130,5",150,TCT,Trường Đại học Cần Thơ
582,TS_0211,5,HUBSA255,29/06/2025,2025,M7,Địa lý,"114,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
583,TS_0211,5,HUBSA255,29/06/2025,2025,M6,Lịch sử,"123,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
584,TS_0211,5,HUBSA255,29/06/2025,2025,M1,Toán,91,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
591,TS_0217,3,HUBSA253,18/05/2025,2025,M1,Toán,"54,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
592,TS_0217,3,HUBSA253,18/05/2025,2025,M2,Vật lý,75,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
593,TS_0217,3,HUBSA253,18/05/2025,2025,M8,Tiếng Anh,"49,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
635,TS_0243,5,HUBSA255,29/06/2025,2025,M1,Toán,104,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
636,TS_0243,5,HUBSA255,29/06/2025,2025,M8,Tiếng Anh,"77,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
637,TS_0243,5,HUBSA255,29/06/2025,2025,M2,Vật lý,"104,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
682,TS_0269,5,HUBSA255,29/06/2025,2025,M1,Toán,"101,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
683,TS_0269,5,HUBSA255,29/06/2025,2025,M3,Hoá,"105,5",150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
684,TS_0269,5,HUBSA255,29/06/2025,2025,M8,Tiếng Anh,75,150,NHS,Trường Đại học Ngân hàng Tp. Hồ Chí Minh
